"source","platform","file_or_url","status","coverage","last_verified","notes"
"Infra hold replan","Proyecto local","auditoria-seo-geo-matchwalls/infra-hold-replan-MW-MASTER-QUEUE-INFRA-HOLD-REPLAN-014B-2026-07-05.md","VERIFICADO Y CORRECTO","Cola operativa por carriles A/B/C/D","2026-07-05","Define que 014C es el siguiente lote seguro y que storefront queda bloqueado por ticket 68731900"
"Infra hold queue","Proyecto local","auditoria-seo-geo-matchwalls/infra-hold-replan-queue-MW-MASTER-QUEUE-INFRA-HOLD-REPLAN-014B-2026-07-05.csv","VERIFICADO Y CORRECTO","20 filas replanificadas","2026-07-05","Base para bloque de próximos lotes y restricciones"
"Bing Search overview","Bing Webmaster Tools","auditoria-seo-geo-matchwalls/overview-summary-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-FULL-EXPORT-013J1-2026-07-05.csv","VERIFICADO Y CORRECTO","21 días, 749 impresiones, 3 clics","2026-07-05","Archivo origen en Escritorio: matchwalls.com_SearchPerformanceOverview_All_7_5_2026.csv"
"Bing Search keywords","Bing Webmaster Tools","auditoria-seo-geo-matchwalls/keywords-summary-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-KEYWORDS-EXPORT-013J2-2026-07-05.csv","VERIFICADO Y CORRECTO","88 queries exportadas, 131 impresiones exportadas, 3 clics","2026-07-05","Detalle visible/exportable, no sustituye overview total"
"Bing Search pages","Bing Webmaster Tools","auditoria-seo-geo-matchwalls/pages-summary-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-PAGES-EXPORT-013J3-2026-07-05.csv","VERIFICADO Y CORRECTO","49 URLs exportadas, 136 impresiones exportadas, 3 clics","2026-07-05","Base para URL opportunities sin publicar"
"Bing Search country/device","Bing Webmaster Tools","auditoria-seo-geo-matchwalls/country-device-summary-MW-BING-WEBMASTER-SEARCH-PERFORMANCE-COUNTRY-DEVICE-EXPORT-013J4-2026-07-05.csv","VERIFICADO Y CORRECTO","11 países y 2 dispositivos; overview 749 impresiones y 3 clics","2026-07-05","Útil para panel por mercado/dispositivo"
"Bing sitemap status","Bing Webmaster Tools","auditoria-seo-geo-matchwalls/qa-MW-BING-WEBMASTER-SITEMAP-STATUS-QA-013E2-2026-07-04.md","VERIFICADO Y CORRECTO","Sitemap success, 0 errores, 0 warnings, 7.8K URLs descubiertas","2026-07-04","No equivale a URLs indexadas"
"Bing AI overview","Bing Webmaster Tools AI Performance","auditoria-seo-geo-matchwalls/qa-MW-BING-WEBMASTER-AI-PERFORMANCE-EXPORT-QA-013E4-2026-07-04.md","VERIFICADO Y CORRECTO","20 filas diarias, 10 citas, 5 días con citas","2026-07-04","Mide Microsoft Copilot y partners según la interfaz de Bing"
"Bing AI pages","Bing Webmaster Tools AI Performance","auditoria-seo-geo-matchwalls/ai-performance-pages-export-classified-MW-BING-WEBMASTER-AI-PERFORMANCE-PAGES-EXPORT-013E6-2026-07-04.csv","VERIFICADO Y CORRECTO","7 URLs citadas, 10 citas","2026-07-04","FR/DE/NL aparecen con 0 citas en este export"
"IndexNow audit visible URLs","Bing Webmaster Tools IndexNow","auditoria-seo-geo-matchwalls/audit-MW-INDEXNOW-BING-WEBMASTER-SUBMITTED-URLS-AUDIT-013I5-2026-07-05.csv","VERIFICADO Y CORRECTO","3 URLs visibles auditadas","2026-07-05","Incluye home, custom-file-uploader noindex y bambuze-negro"
"IndexNow discrepancy","Bing Webmaster Tools IndexNow","auditoria-seo-geo-matchwalls/full-export-MW-INDEXNOW-BING-WEBMASTER-SUBMITTED-URLS-FULL-EXPORT-013I5B-2026-07-05.md","VERIFICADO PERO MEJORABLE","Contador visible 13, tabla/export 3","2026-07-05","Monitorizar 24-72h; no bloquear plan documental"
"IndexNow monitor","Bing Webmaster Tools IndexNow","auditoria-seo-geo-matchwalls/monitor-MW-INDEXNOW-BING-WEBMASTER-DISCREPANCY-MONITOR-013I5C-2026-07-05.md","STANDBY","Discrepancia 13 vs 3 persistía en recheck temprano","2026-07-05","No enviar URLs manuales por ahora"
"Crawler policy review","Proyecto local + fuentes oficiales","auditoria-seo-geo-matchwalls/review-MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW-2026-07-05.md","VERIFICADO Y CORRECTO","robots, sitemap, llms, agents; política IA/crawlers","2026-07-05","No tocar robots; no añadir Allow específicos sin duplicar Disallow privados"
"Shopify infra safety gate","QA pública local","auditoria-seo-geo-matchwalls/public-qa-retry-analysis-MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R-2026-07-05.md","RIESGO CRITICO","5 URLs; 3 OK, 2 HTTP 500","2026-07-05","Bloquea crawls amplios y publicaciones"
"Shopify infra ticket update","Proyecto local / soporte Shopify","auditoria-seo-geo-matchwalls/shopify-ticket-update-MW-SHOPIFY-INFRA-500-REQUEST-ID-UPDATE-013J6R1-2026-07-05.md","VERIFICADO Y CORRECTO","2 nuevos x-request-id para ticket 68731900","2026-07-05","Evidencia preparada para ingeniería"
"Google Search Console performance","Google Search Console","Pendiente de export/acceso","NO ACCESIBLE","Impresiones/clics/CTR/posición Google por query y URL","2026-07-05","No usar Bing como sustituto"
"Google Search Console coverage","Google Search Console","Pendiente de export/acceso","NO ACCESIBLE","URLs válidas, indexadas, excluidas y errores","2026-07-05","Necesario para cerrar indexabilidad global"
"GA4 organic business","GA4","Pendiente de export/acceso","NO ACCESIBLE","Ingresos, pedidos, conversiones, sesiones orgánicas","2026-07-05","Necesario para panel CEO completo"
"Shopify Analytics business","Shopify Analytics","Pendiente de export/acceso","NO ACCESIBLE","Ventas por canal/mercado","2026-07-05","No verificado en este lote"
"Core Web Vitals real","CrUX / GSC","Pendiente de export/acceso","NO ACCESIBLE","LCP, INP, CLS reales por URL/plantilla","2026-07-05","No sustituir por impresión visual"
"Non-Bing AI citations","ChatGPT, Claude, Perplexity, Gemini, Grok, Meta, Ollama","Pendiente de protocolo/monitor","NO ACCESIBLE","Citas, menciones, URLs citadas y exactitud","2026-07-05","Sin datos verificados en este lote"
"Backlinks quality","Bing Backlinks / herramienta futura","Pendiente de export/acceso","NO ACCESIBLE","Dominios referidos, calidad y menciones","2026-07-05","Bing muestra recomendación general, pero no hay auditoría exportada"
