orden,carril,bloque,estado,dependencia,accion_permitida,accion_prohibida,siguiente_lote_sugerido,comentario
1,A - Bloqueado por infraestructura,Ticket Shopify 68731900,STANDBY,Respuesta de Shopify Engineering,Responder/seguir ticket,Crear ticket paralelo innecesario o tocar Shopify,MW-SHOPIFY-ENGINEERING-RESPONSE-TRIAGE-014D,Esperar respuesta y centralizar evidencia
2,A - Bloqueado por infraestructura,Home / entidad principal,RIESGO CRITICO,Ticket 68731900,Ninguna salvo soporte,Editar home tema schema app embeds o contenido,MW-SHOPIFY-INFRA-POSTFIX-HOME-QA-014E,Solo cuando Shopify confirme fix
3,A - Bloqueado por infraestructura,QA público URLs priorizadas Bing,RIESGO CRITICO,500 intermitente en safety gate,No crawling amplio,Repetir 42 URLs o user-agent bot-like,MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R2,Solo tras estabilidad infra
4,A - Bloqueado por infraestructura,Landings España/Francia 012,STANDBY,Render/cache ES-FR en ticket 68731900,Preparar notas internas,Editar páginas LangShop SEO fields schema o enlaces,MW-GEO-LANDINGS-POST-INFRA-RECHECK-012P,No tocar hasta respuesta
5,A - Bloqueado por infraestructura,Tema MAIN / Liquid / schema visible,STANDBY,500/render infra,Revisión documental,Editar theme files snippets app embeds o publicar tema,MW-THEME-POST-INFRA-DIFF-QA-014F,Evitar contaminar diagnóstico
6,A - Bloqueado por infraestructura,Robots sitemap llms agents,STANDBY,Home/render y crawler QA inestable,Revisión documental,Modificar archivos públicos de crawlers,MW-CRAWLERS-AI-FILES-POST-INFRA-DIAG-013C1,robots y sitemap estaban 200 pero congelados
7,A - Bloqueado por infraestructura,IndexNow manual o masivo,STANDBY,QA público inestable,Monitorizar datos ya recibidos,Enviar lotes masivos,MW-INDEXNOW-POST-INFRA-MONITOR-013I7,App funcionando pero sin empujar masivamente
8,B - Seguro offline,Bing Search Performance baseline,VERIFICADO Y CORRECTO,CSVs ya exportados,Análisis y documentación,Ninguna escritura externa,MW-BING-SEARCH-PERFORMANCE-CONSOLIDATED-INSIGHTS-013J7,Continuar con datos ya descargados
9,B - Seguro offline,Panel CEO/CMO,INCOMPLETO,Ninguna,Especificar métricas y plantilla local,Conectar o modificar plataformas,MW-CEO-CMO-PANEL-SPEC-014C,Siguiente lote recomendado
10,B - Seguro offline,Entidad factual MatchWalls ES/EN/FR/DE/NL,INCOMPLETO,Ninguna,Brief/copy local,Publicar en Shopify o LangShop,MW-ENTITY-FACTUAL-BRIEF-ES-EN-FR-DE-NL-015A,Prioridad GEO/AEO sin riesgo técnico
11,B - Seguro offline,Briefs DE/NL/UK/BE/USA/MX,INCOMPLETO,Ninguna,Arquitectura y copy local,Crear páginas o traducir en Shopify,MW-GEO-DE-NL-UK-BRIEF-DRAFT-015B,Respetar estrategia por país
12,B - Seguro offline,Contenido citable / guías / FAQ / comparativas,INCOMPLETO,Ninguna,Mapas editoriales y borradores,Publicación o cambios de tema,MW-CITABLE-CONTENT-ROADMAP-015C,Trabajo de demanda y citas sin implementar
13,C - Preparar sin publicar,Propuestas para 42 URLs Bing priorizadas,VERIFICADO PERO MEJORABLE,QA pública estable pendiente,Crear propuesta local,Editar titles metas H1 o contenido,MW-BING-SEO-GEO-URL-FIX-PROPOSAL-OFFLINE-013J7B,No aplicar hasta postcheck
14,C - Preparar sin publicar,Canonical hreflang 011H,VERIFICADO PERO MEJORABLE,QA pública estable pendiente,Matriz propuesta,Mutaciones URL/canonical/hreflang,MW-INDEXABILITY-CANONICAL-HREFLANG-PROPOSAL-011H1,Corrección quirúrgica posterior
15,C - Preparar sin publicar,Hub collections root i18n,REQUIERE DECISION HUMANA,Infra y render estable pendientes,Documento de propuesta,Implementar hub o tocar tema,MW-COLLECTIONS-ROOT-HUB-POST-INFRA-PROPOSAL-013E17,Ya existe preparación previa
16,C - Preparar sin publicar,Schema global/entity,INCOMPLETO,Infra estable pendiente,Diseño y mapeo local,Editar Liquid/schema en MAIN,MW-SCHEMA-GLOBAL-ENTITY-SOURCE-MAP-015D,No implementar ahora
17,D - STANDBY estratégico,PT IT BR,STANDBY,Autorización expresa,Fase 2 documental si se autoriza,Optimización o expansión,MW-PT-IT-BR-DEFENSIVE-REVIEW-FUTURE,Fase 2
18,D - STANDBY estratégico,Legacy matchwallsmurals/matchwallsmurais,STANDBY,Decisión humana expresa,Monitorizar señales,Modificar handles redirecciones o borrar,MW-LEGACY-MATCHWALLSMURALS-DECISION-FUTURE,No tocar por instrucción permanente
19,D - STANDBY estratégico,Noindex geográficas masivo,STANDBY,GSC + decisión humana,Análisis documental,Ejecutar noindex masivo,MW-GEO-COLLECTIONS-GSC-DECISION-FUTURE,Proteger landings con valor
20,D - STANDBY estratégico,Nuevas landings fuera ES/FR,STANDBY,Estrategia país y logística,Briefs locales,Crear páginas,MW-GEO-EXPANSION-PHASE2-FUTURE,Primero calidad y control
