lot,language,field,current_value,status,recommendation,notes
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,ES,H1,"Colecciones de papel pintado y murales",VERIFICADO Y CORRECTO,"Mantener","Claro, semántico y alineado con intención SEO/GEO"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,ES,Intro/FAQ,"Copy ES del bloque",VERIFICADO Y CORRECTO,"Mantener","Sin mezcla de idiomas ni claims no demostrados"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,EN,H1,"Wallpaper and mural collections",VERIFICADO Y CORRECTO,"Mantener","Natural y claro para hub"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,EN,Intro/FAQ,"Copy EN del bloque",VERIFICADO Y CORRECTO,"Mantener","Sin mezcla de idiomas ni claims no demostrados"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,FR,H1,"Collections de papiers peints et panoramiques",VERIFICADO Y CORRECTO,"Mantener o valorar 'papiers peints panoramiques' según criterio de marca","Correcto y entendible en francés"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,FR,Quick link,"Voir tous les designs",VERIFICADO PERO MEJORABLE,"Valorar 'Voir tous les motifs' o 'Voir toutes les collections'","'Designs' es comprensible pero es anglicismo; no bloquea draft"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,FR,Intro/FAQ,"Copy FR del bloque",VERIFICADO Y CORRECTO,"Mantener","Sin mezcla de idiomas; copy claro para usuario y buscadores"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,DE,H1,"Kollektionen für Tapeten und Wandbilder",VERIFICADO PERO MEJORABLE,"Valorar 'Tapeten- und Wandbildkollektionen'","Actual es correcto, pero la alternativa suena más natural en alemán"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,DE,Intro/FAQ,"Copy DE del bloque",VERIFICADO PERO MEJORABLE,"QA humano DE antes de MAIN","Correcto en intención; revisar naturalidad, tono de tú y consistencia terminológica"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,NL,H1,"Collecties behang en wandprints",VERIFICADO PERO MEJORABLE,"Valorar 'Behang- en wandprintcollecties'","Actual se entiende; alternativa es más idiomática"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,NL,Quick link,"Alle designs bekijken",VERIFICADO PERO MEJORABLE,"Valorar 'Alle ontwerpen bekijken'","'Designs' es comprensible, pero 'ontwerpen' es más natural"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,NL,Intro/FAQ,"Copy NL del bloque",VERIFICADO PERO MEJORABLE,"QA humano NL antes de MAIN","Correcto en intención; revisar naturalidad y consistencia entre 'wandprints' y 'muurschilderingen'"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,FR/DE/NL,Destination H1,"forme professionnelle / Professionelle Form / Professionele vorm",VERIFICADO PERO MEJORABLE,"Crear lote separado para destinos del formulario profesional si se prioriza","No pertenece al bloque nuevo; detectado al verificar destinos"
MW-COLLECTIONS-ROOT-HUB-I18N-DRAFT-VISUAL-LINGUISTIC-QA-013E13B,ALL,Custom uploader destination,"/products/custom-file-uploader y equivalentes",VERIFICADO PERO MEJORABLE,"Decidir si mantener enlace funcional noindex o crear página informativa indexable sobre mural personalizado","Destino funciona, pero está noindex; útil para usuario, limitado para SEO"
